period,breakeven_published
1948-Q1,49281.144935758035
1948-Q2,43559.72542400402
1948-Q3,46807.46544961062
1948-Q4,47147.808942751355
1949-Q1,49881.0385766141
1949-Q2,51684.831691241336
1949-Q3,54180.15645604902
1949-Q4,51910.54374751663
1950-Q1,43434.96943087046
1950-Q2,29508.17780899093
1950-Q3,13162.460849434743
1950-Q4,-303.4816825717158
1951-Q1,-5080.362758861396
1951-Q2,-1672.2055274633617
1951-Q3,9211.80156257522
1951-Q4,23721.030763164057
1952-Q1,36932.80391625701
1952-Q2,47462.65213869113
1952-Q3,54049.080641845685
1952-Q4,57447.9756805069
1953-Q1,59230.87623054422
1953-Q2,60259.572021948865
1953-Q3,60405.84533164021
1953-Q4,61454.74181752722
1954-Q1,62111.17257095145
1954-Q2,63278.85130887009
1954-Q3,64721.13253155365
1954-Q4,65620.73790854598
1955-Q1,66021.72404734304
1955-Q2,66013.70513076975
1955-Q3,64771.31197712113
1955-Q4,62992.083921048696
1956-Q1,61172.865429982325
1956-Q2,59990.8689949609
1956-Q3,59978.05159313219
1956-Q4,61506.879083717446
1957-Q1,63516.73467530436
1957-Q2,65580.86135674978
1957-Q3,66854.53528124734
1957-Q4,67859.32667446221
1958-Q1,68031.13695146324
1958-Q2,68603.59204462302
1958-Q3,70192.32125840179
1958-Q4,72046.93953511097
1959-Q1,76688.24080048634
1959-Q2,80497.68954327126
1959-Q3,82913.88580213854
1959-Q4,84966.76006952714
1960-Q1,85556.87565191025
1960-Q2,82477.77868569287
1960-Q3,80124.87850648043
1960-Q4,76566.29712458464
1961-Q1,70121.66425244095
1961-Q2,65093.16558919616
1961-Q3,62162.90688258111
1961-Q4,62800.95474593438
1962-Q1,68974.36005741775
1962-Q2,79602.83721092322
1962-Q3,91287.20582641638
1962-Q4,99922.74253145629
1963-Q1,104469.00920804523
1963-Q2,104698.22825517767
1963-Q3,103091.59254272837
1963-Q4,101359.26949632022
1964-Q1,101319.35580059713
1964-Q2,102168.32535982871
1964-Q3,102520.84122523475
1964-Q4,101788.97834238592
1965-Q1,98945.11515724573
1965-Q2,94878.41547197878
1965-Q3,89845.53031522727
1965-Q4,85480.8382901043
1966-Q1,82689.04434467076
1966-Q2,82746.55592249593
1966-Q3,86581.26957699339
1966-Q4,93095.80876649237
1967-Q1,100921.08622286303
1967-Q2,108102.6497457586
1967-Q3,113731.74485364629
1967-Q4,117022.09200711721
1968-Q1,118993.92458667446
1968-Q2,120840.54914950559
1968-Q3,123505.6808245578
1968-Q4,127313.65262091564
1969-Q1,131615.99685600898
1969-Q2,137253.93375418207
1969-Q3,143964.4709451137
1969-Q4,152082.3927015402
1970-Q1,160060.58461228583
1970-Q2,168286.79578127444
1970-Q3,174901.21830931044
1970-Q4,180042.07489352633
1971-Q1,183172.4560413698
1971-Q2,185418.48213988
1971-Q3,186722.92897507324
1971-Q4,186984.65646732665
1972-Q1,186168.23261817923
1972-Q2,185183.56964963366
1972-Q3,184383.70682965178
1972-Q4,184455.0765560931
1973-Q1,185297.1824975132
1973-Q2,186685.9547639934
1973-Q3,188065.70467464728
1973-Q4,189941.39651022913
1974-Q1,190769.62404778204
1974-Q2,191331.77465154568
1974-Q3,192921.6522307978
1974-Q4,194946.93219986555
1975-Q1,196279.20309161692
1975-Q2,197634.09941050134
1975-Q3,198539.772102616
1975-Q4,197700.80894457718
1976-Q1,195700.15788215044
1976-Q2,194175.7272930967
1976-Q3,193098.23454488392
1976-Q4,192751.60583244145
1977-Q1,192943.10543613762
1977-Q2,193530.51440449688
1977-Q3,193226.7135953874
1977-Q4,193185.99866134673
1978-Q1,192899.49174482474
1978-Q2,192757.00430209926
1978-Q3,192708.99267108302
1978-Q4,194495.53751309062
1979-Q1,195052.6048191144
