preset,migration,u_star_def,u_star,delta_per_month,immigrant_lfpr_applied,pace_kmo,breakeven_kmo
Census_V2025,320000.0,noncyclical,0.044,0.0,False,90.0,38.4504328565872
Census_V2025,320000.0,cbo_actual,0.0456,0.0,False,90.0,38.39819542770719
Brookings_low,-925000.0,noncyclical,0.044,-56317.0585159,False,-4.412499999999994,-17.8666256593128
Brookings_low,-925000.0,cbo_actual,0.0456,-56222.80402466,False,-4.412499999999994,-17.8246085969528
Brookings_mid,-370000.0,noncyclical,0.044,-31211.8637558,False,37.675,7.238569100787199
Brookings_mid,-370000.0,cbo_actual,0.0456,-31159.62632692,False,37.675,7.238569100787199
Brookings_high,185000.0,noncyclical,0.044,-6106.668995700001,False,79.7625,32.343763860887194
Brookings_high,185000.0,cbo_actual,0.0456,-6096.448629180001,False,79.7625,32.3017467985272
MS_house,590000.0,noncyclical,0.044,12213.337991400002,False,110.475,50.663770847987195
MS_house,590000.0,cbo_actual,0.0456,12192.897258360003,False,110.475,50.5910926860672
CBO_Feb2026,573959.0,noncyclical,0.044,11487.730010955378,False,109.2585575,49.93816286754257
CBO_Feb2026,573959.0,cbo_actual,0.0456,11468.503684577212,False,109.2585575,49.86669911228442
