Date,Core PCE Q/Q SAAR
31-Mar-2026,3.1
31-Dec-2025,3.0
30-Sep-2025,2.7
30-Jun-2025,2.8
31-Mar-2025,3.5
31-Dec-2024,2.4
30-Sep-2024,2.6
30-Jun-2024,2.2
31-Mar-2024,4.8
31-Dec-2023,1.8
30-Sep-2023,2.3
30-Jun-2023,3.7
31-Mar-2023,4.7
31-Dec-2022,4.1
30-Sep-2022,5.0
30-Jun-2022,5.3
31-Mar-2022,5.5
31-Dec-2021,6.6
30-Sep-2021,3.9
30-Jun-2021,6.4
31-Mar-2021,4.0
31-Dec-2020,1.9
30-Sep-2020,3.3
30-Jun-2020,-0.3
31-Mar-2020,1.2
31-Dec-2019,1.7
30-Sep-2019,1.2
30-Jun-2019,2.0
31-Mar-2019,1.3
31-Dec-2018,2.1
30-Sep-2018,1.3
30-Jun-2018,1.8
31-Mar-2018,3.0
31-Dec-2017,1.8
30-Sep-2017,1.2
30-Jun-2017,1.7
31-Mar-2017,1.6
31-Dec-2016,1.2
30-Sep-2016,1.8
30-Jun-2016,2.1
31-Mar-2016,2.0
31-Dec-2015,0.8
30-Sep-2015,1.3
30-Jun-2015,1.7
31-Mar-2015,0.9
31-Dec-2014,1.0
30-Sep-2014,1.4
30-Jun-2014,1.8
31-Mar-2014,1.2
31-Dec-2013,1.8
30-Sep-2013,1.4
30-Jun-2013,1.4
31-Mar-2013,1.6
31-Dec-2012,1.7
30-Sep-2012,1.2
30-Jun-2012,1.4
31-Mar-2012,2.5
31-Dec-2011,1.7
30-Sep-2011,1.7
30-Jun-2011,2.3
31-Mar-2011,2.2
31-Dec-2010,1.2
30-Sep-2010,0.6
30-Jun-2010,0.8
31-Mar-2010,1.5
31-Dec-2009,2.2
30-Sep-2009,1.7
30-Jun-2009,1.7
31-Mar-2009,0.5
31-Dec-2008,-0.9
30-Sep-2008,1.6
30-Jun-2008,1.9
31-Mar-2008,2.0
31-Dec-2007,2.7
30-Sep-2007,2.3
30-Jun-2007,1.7
31-Mar-2007,2.9
31-Dec-2006,1.5
30-Sep-2006,1.9
30-Jun-2006,3.3
