Date,Industrial Production (Index),Nonfarm Payrolls (thousands),Real Disp. Personal Income (B$),Real Mfg & Trade Sales (M$)
31-Jan-2026,101.5954,158592.0,16738.7,1575224.0
31-Dec-2025,101.6113,158432.0,16716.1,1569176.0
30-Nov-2025,101.081,158449.0,16738.9,1554595.0
31-Oct-2025,101.2195,158408.0,16708.7,1554556.0
30-Sep-2025,101.668,158548.0,16720.7,1551628.0
31-Aug-2025,101.6247,158472.0,16699.7,1562681.0
31-Jul-2025,101.894,158542.0,16677.9,1565953.0
30-Jun-2025,101.4785,158478.0,16583.5,1556845.0
31-May-2025,100.9655,158498.0,16636.1,1550522.0
30-Apr-2025,101.1279,158485.0,16700.0,1555663.0
31-Mar-2025,101.0404,158377.0,16695.4,1563633.0
28-Feb-2025,101.0993,158310.0,16600.6,1542684.0
31-Jan-2025,100.0647,158268.0,16635.4,1531801.0
31-Dec-2024,100.3273,158316.0,16606.6,1547485.0
30-Nov-2024,99.2925,158079.0,16590.1,1535297.0
31-Oct-2024,99.4695,157945.0,16531.5,1526325.0
30-Sep-2024,99.8084,157912.0,16500.8,1530455.0
31-Aug-2024,100.4309,157757.0,16494.5,1518385.0
31-Jul-2024,99.9757,157748.0,16473.6,1519102.0
30-Jun-2024,100.894,157695.0,16456.4,1506650.0
31-May-2024,100.863,157608.0,16449.0,1503122.0
30-Apr-2024,100.2434,157530.0,16366.3,1490484.0
31-Mar-2024,100.4575,157466.0,16349.4,1491307.0
29-Feb-2024,100.285,157238.0,16335.1,1494481.0
31-Jan-2024,99.2223,157032.0,16326.0,1492936.0
31-Dec-2023,100.6031,156857.0,16327.6,1508602.0
30-Nov-2023,100.8639,156703.0,16280.3,1497859.0
31-Oct-2023,100.4689,156576.0,16186.9,1490802.0
30-Sep-2023,101.0211,156417.0,16126.7,1491541.0
31-Aug-2023,100.8393,156261.0,16107.2,1482238.0
31-Jul-2023,100.9067,156043.0,16071.5,1482383.0
30-Jun-2023,100.1196,155880.0,16006.6,1472700.0
31-May-2023,100.9286,155655.0,15975.5,1472101.0
30-Apr-2023,101.253,155375.0,15925.7,1456995.0
31-Mar-2023,101.0205,155134.0,15882.7,1459513.0
28-Feb-2023,100.6416,155066.0,15806.5,1471736.0
31-Jan-2023,100.505,154776.0,15762.0,1483458.0
31-Dec-2022,99.7664,154342.0,15662.6,1465472.0
30-Nov-2022,100.9552,154242.0,15618.5,1451828.0
31-Oct-2022,101.2529,153939.0,15614.3,1466963.0
30-Sep-2022,101.2918,153582.0,15638.0,1465161.0
31-Aug-2022,101.0963,153362.0,15585.4,1468234.0
31-Jul-2022,101.223,153072.0,15515.9,1452657.0
30-Jun-2022,101.018,152358.0,15342.3,1446858.0
31-May-2022,101.3335,151924.0,15401.5,1450168.0
30-Apr-2022,101.44,151623.0,15417.5,1469438.0
31-Mar-2022,101.3907,151315.0,15420.6,1470559.0
28-Feb-2022,100.8064,150825.0,15483.6,1472992.0
31-Jan-2022,100.1856,150006.0,15496.6,1485162.0
31-Dec-2021,100.5726,149816.0,15610.8,1467940.0
30-Nov-2021,100.8654,149230.0,15657.2,1470618.0
31-Oct-2021,100.1861,148572.0,15663.7,1465891.0
30-Sep-2021,98.8579,147771.0,15608.0,1457262.0
31-Aug-2021,100.0437,147314.0,15569.7,1451943.0
31-Jul-2021,100.2519,146762.0,15570.0,1465158.0
30-Jun-2021,99.7987,145820.0,15508.5,1460523.0
31-May-2021,99.4333,145065.0,15456.9,1455876.0
30-Apr-2021,98.5587,144587.0,15377.5,1483733.0
31-Mar-2021,98.3856,144232.0,15241.0,1482801.0
28-Feb-2021,95.6149,143380.0,15098.9,1428248.0
31-Jan-2021,98.8822,142863.0,15086.9,1472712.0
31-Dec-2020,98.363,142548.0,15089.9,1442553.0
30-Nov-2020,97.0816,142733.0,15108.4,1431857.0
31-Oct-2020,96.7394,142460.0,15127.8,1432103.0
30-Sep-2020,95.9669,141770.0,14905.4,1419956.0
31-Aug-2020,95.9549,140821.0,14728.2,1413552.0
31-Jul-2020,95.0256,139255.0,14562.6,1411729.0
30-Jun-2020,91.5934,137671.0,14445.0,1373101.0
31-May-2020,85.9604,133040.0,14119.0,1276086.0
30-Apr-2020,84.5619,130426.0,13786.4,1177479.0
31-Mar-2020,97.4078,150895.0,14689.3,1330719.0
29-Feb-2020,101.3735,152293.0,15024.6,1391224.0
31-Jan-2020,101.0338,152031.0,14945.8,1386608.0
31-Dec-2019,101.7003,151794.0,14796.5,1390886.0
30-Nov-2019,101.9372,151667.0,14855.3,1396759.0
31-Oct-2019,101.4281,151460.0,14786.5,1389568.0
30-Sep-2019,102.2917,151365.0,14755.6,1405353.0
31-Aug-2019,102.639,151169.0,14726.5,1409855.0
31-Jul-2019,101.9408,150937.0,14651.8,1406165.0
30-Jun-2019,102.4375,150838.0,14660.2,1405269.0
31-May-2019,102.392,150618.0,14641.9,1403604.0
30-Apr-2019,102.274,150591.0,14643.3,1394958.0
31-Mar-2019,102.8757,150295.0,14657.7,1405640.0
28-Feb-2019,102.8371,150067.0,14633.7,1408768.0
31-Jan-2019,103.4021,150060.0,14598.4,1411462.0
31-Dec-2018,104.0936,149809.0,14599.3,1408513.0
30-Nov-2018,104.0681,149617.0,14411.1,1411645.0
31-Oct-2018,103.9856,149527.0,14370.2,1406996.0
30-Sep-2018,104.1004,149358.0,14354.0,1411531.0
31-Aug-2018,104.0327,149277.0,14356.7,1412014.0
31-Jul-2018,103.3646,149020.0,14298.5,1405164.0
30-Jun-2018,103.198,148960.0,14226.0,1402036.0
31-May-2018,102.4024,148742.0,14163.6,1408616.0
30-Apr-2018,103.3329,148420.0,14121.8,1398213.0
31-Mar-2018,102.2067,148280.0,14103.0,1398064.0
