Date,Industrial Production (Index) (% MoM),Nonfarm Payrolls (thousands) (% MoM),Real Disp. Personal Income (B$) (% MoM),Real Mfg & Trade Sales (M$) (% MoM)
28-Feb-1967,-1.1406,0.0336,-0.0171,-0.3846
31-Mar-1967,-0.5653,0.1542,0.3841,0.7217
30-Apr-1967,0.9387,-0.0977,0.0312,-0.0654
31-May-1967,-0.8764,0.2350,0.1532,-0.0819
30-Jun-1967,-0.0124,0.1979,0.3904,0.7401
31-Jul-1967,-0.2280,0.2097,0.4564,-0.6483
31-Aug-1967,1.8978,0.3863,0.4291,1.3343
30-Sep-1967,-0.1625,0.0317,0.1398,0.3524
31-Oct-1967,0.8110,0.0922,0.0335,-0.6963
30-Nov-1967,1.4202,0.7192,0.6267,2.6579
31-Dec-1967,1.0711,0.2949,0.2690,2.1991
31-Jan-1968,-0.1076,-0.1436,0.4944,-1.0081
29-Feb-1968,0.3576,0.6133,0.8150,-0.3157
31-Mar-1968,0.3118,0.1190,0.4880,0.7415
30-Apr-1968,0.1446,0.3871,0.3041,-0.1986
31-May-1968,1.1155,0.1420,0.6109,0.6984
30-Jun-1968,0.3667,0.3733,0.4839,0.7046
31-Jul-1968,-0.1535,0.3249,0.6070,0.9497
31-Aug-1968,0.2786,0.2990,0.3752,-1.7196
30-Sep-1968,0.3780,0.2251,0.5192,1.3899
31-Oct-1968,0.1985,0.3455,0.1452,1.3452
30-Nov-1968,1.2851,0.3820,0.4580,0.8586
31-Dec-1968,0.3153,0.3820,0.4036,-0.9317
31-Jan-1969,0.6031,0.2754,0.0262,0.0024
28-Feb-1969,0.6379,0.3737,0.4123,0.1556
31-Mar-1969,0.7811,0.2951,0.4936,0.3671
30-Apr-1969,-0.3685,0.2386,0.2510,0.4314
31-May-1969,-0.3789,0.3647,0.3998,-0.0689
30-Jun-1969,0.9724,0.4370,0.3880,-0.0573
31-Jul-1969,0.5265,0.1316,0.5448,0.0282
31-Aug-1969,0.2294,0.3937,0.6229,1.0791
30-Sep-1969,-0.0225,-0.1325,0.2683,0.4815
31-Oct-1969,0.0294,0.2915,0.1465,1.1500
30-Nov-1969,-0.9472,-0.0492,0.1060,-1.3942
31-Dec-1969,-0.2688,0.2178,0.1764,-0.1845
31-Jan-1970,-1.8690,-0.0913,0.1685,-1.2684
28-Feb-1970,-0.0658,0.1811,0.1757,0.0888
31-Mar-1970,-0.1299,0.2045,0.3781,-1.1754
30-Apr-1970,-0.2574,-0.1443,-0.5915,-0.5067
31-May-1970,-0.1167,-0.3144,0.2109,1.0803
30-Jun-1970,-0.3240,-0.1337,0.3231,0.3997
31-Jul-1970,0.2451,0.0338,0.5262,0.1067
31-Aug-1970,-0.1784,-0.1634,0.1963,-0.0463
30-Sep-1970,-0.6916,0.0099,-0.2759,-0.1738
31-Oct-1970,-2.0207,-0.5980,-0.5717,-1.0459
30-Nov-1970,-0.6075,-0.1589,-0.0401,-1.6927
31-Dec-1970,2.2705,0.5425,0.2551,3.1242
31-Jan-1971,0.7662,0.1031,0.9622,0.9750
28-Feb-1971,-0.1907,-0.0819,0.1039,0.5569
31-Mar-1971,-0.1083,0.0748,0.2740,0.4140
30-Apr-1971,0.5600,0.2481,0.2757,0.5425
31-May-1971,0.5060,0.2966,0.4072,0.4872
30-Jun-1971,0.4185,0.0098,0.0441,1.3639
31-Jul-1971,-0.2905,0.0856,0.1272,-1.1584
31-Aug-1971,-0.5822,0.0813,0.3781,0.6265
30-Sep-1971,1.6122,0.3371,0.4373,0.8964
31-Oct-1971,0.7459,0.0391,0.4064,0.0692
30-Nov-1971,0.4233,0.2857,0.4144,1.6765
31-Dec-1971,1.1478,0.3640,0.6064,0.9294
31-Jan-1972,2.3627,0.4594,0.5648,1.0515
29-Feb-1972,1.0041,0.2853,0.5616,-1.0852
31-Mar-1972,0.6892,0.4066,0.6501,1.8358
30-Apr-1972,0.9956,0.2984,0.3235,0.6771
31-May-1972,0.0138,0.4187,0.4180,0.6139
30-Jun-1972,0.2644,0.3926,0.3025,0.4354
31-Jul-1972,-0.1118,-0.0665,0.6484,-0.6229
31-Aug-1972,1.3837,0.5844,0.9945,2.3689
30-Sep-1972,0.7948,0.1658,0.4765,1.7051
31-Oct-1972,1.2622,0.5506,1.6826,1.3709
30-Nov-1972,1.1753,0.3996,0.7376,1.8950
31-Dec-1972,1.1079,0.3927,0.5910,1.3249
31-Jan-1973,0.7204,0.4626,-0.5356,1.2657
28-Feb-1973,1.4195,0.5236,0.3809,0.1561
31-Mar-1973,0.0488,0.3546,0.0442,-0.4001
30-Apr-1973,-0.1473,0.2239,0.3000,-0.4146
31-May-1973,0.6792,0.2521,0.3672,-0.3210
30-Jun-1973,0.1347,0.3113,0.3812,-0.1998
31-Jul-1973,0.3551,0.0338,0.3928,1.3536
