Date,Real GDP (Quarterly B$ repeated),Industrial Production (Monthly Index)
31-Dec-2025,24055.749,101.6113
30-Nov-2025,24055.749,101.0810
31-Oct-2025,24055.749,101.2195
30-Sep-2025,24026.834,101.6680
31-Aug-2025,24026.834,101.6247
31-Jul-2025,24026.834,101.8940
30-Jun-2025,23770.976,101.4785
31-May-2025,23770.976,100.9655
30-Apr-2025,23770.976,101.1279
31-Mar-2025,23548.210,101.0404
28-Feb-2025,23548.210,101.0993
31-Jan-2025,23548.210,100.0647
31-Dec-2024,23586.542,100.3273
30-Nov-2024,23586.542,99.2925
31-Oct-2024,23586.542,99.4695
30-Sep-2024,23478.570,99.8084
31-Aug-2024,23478.570,100.4309
31-Jul-2024,23478.570,99.9757
30-Jun-2024,23286.508,100.8940
31-May-2024,23286.508,100.8630
30-Apr-2024,23286.508,100.2434
31-Mar-2024,23082.119,100.4575
29-Feb-2024,23082.119,100.2850
31-Jan-2024,23082.119,99.2223
31-Dec-2023,23033.780,100.6031
30-Nov-2023,23033.780,100.8639
31-Oct-2023,23033.780,100.4689
30-Sep-2023,22840.989,101.0211
31-Aug-2023,22840.989,100.8393
31-Jul-2023,22840.989,100.9067
30-Jun-2023,22580.499,100.1196
31-May-2023,22580.499,100.9286
30-Apr-2023,22580.499,101.2530
31-Mar-2023,22439.607,101.0205
28-Feb-2023,22439.607,100.6416
31-Jan-2023,22439.607,100.5050
31-Dec-2022,22278.345,99.7664
30-Nov-2022,22278.345,100.9552
31-Oct-2022,22278.345,101.2529
30-Sep-2022,22125.625,101.2918
31-Aug-2022,22125.625,101.0963
31-Jul-2022,22125.625,101.2230
30-Jun-2022,21967.045,101.0180
31-May-2022,21967.045,101.3335
30-Apr-2022,21967.045,101.4400
31-Mar-2022,21932.710,101.3907
28-Feb-2022,21932.710,100.8064
31-Jan-2022,21932.710,100.1856
31-Dec-2021,21988.737,100.5726
30-Nov-2021,21988.737,100.8654
31-Oct-2021,21988.737,100.1861
30-Sep-2021,21617.828,98.8579
31-Aug-2021,21617.828,100.0437
31-Jul-2021,21617.828,100.2519
30-Jun-2021,21440.929,99.7987
31-May-2021,21440.929,99.4333
30-Apr-2021,21440.929,98.5587
31-Mar-2021,21082.134,98.3856
28-Feb-2021,21082.134,95.6149
31-Jan-2021,21082.134,98.8822
31-Dec-2020,20791.917,98.3630
30-Nov-2020,20791.917,97.0816
31-Oct-2020,20791.917,96.7394
30-Sep-2020,20558.879,95.9669
31-Aug-2020,20558.879,95.9549
31-Jul-2020,20558.879,95.0256
30-Jun-2020,19077.992,91.5934
31-May-2020,19077.992,85.9604
30-Apr-2020,19077.992,84.5619
31-Mar-2020,20709.212,97.4078
29-Feb-2020,20709.212,101.3735
31-Jan-2020,20709.212,101.0338
31-Dec-2019,20985.448,101.7003
30-Nov-2019,20985.448,101.9372
31-Oct-2019,20985.448,101.4281
30-Sep-2019,20843.322,102.2917
31-Aug-2019,20843.322,102.6390
31-Jul-2019,20843.322,101.9408
30-Jun-2019,20602.275,102.4375
31-May-2019,20602.275,102.3920
30-Apr-2019,20602.275,102.2740
31-Mar-2019,20431.641,102.8757
28-Feb-2019,20431.641,102.8371
31-Jan-2019,20431.641,103.4021
31-Dec-2018,20304.874,104.0936
30-Nov-2018,20304.874,104.0681
31-Oct-2018,20304.874,103.9856
30-Sep-2018,20276.154,104.1004
31-Aug-2018,20276.154,104.0327
31-Jul-2018,20276.154,103.3646
30-Jun-2018,20150.476,103.1980
31-May-2018,20150.476,102.4024
30-Apr-2018,20150.476,103.3329
31-Mar-2018,20044.077,102.2067
28-Feb-2018,20044.077,101.7085
31-Jan-2018,20044.077,101.4625
31-Dec-2017,19882.352,101.4644
30-Nov-2017,19882.352,101.2664
31-Oct-2017,19882.352,101.0247
30-Sep-2017,19660.766,99.7954
31-Aug-2017,19660.766,99.6925
31-Jul-2017,19660.766,100.1068
30-Jun-2017,19506.949,100.3471
31-May-2017,19506.949,100.1408
30-Apr-2017,19506.949,100.0224
31-Mar-2017,19398.343,99.0137
28-Feb-2017,19398.343,98.3646
31-Jan-2017,19398.343,98.7611
31-Dec-2016,19304.352,99.0214
30-Nov-2016,19304.352,98.3491
31-Oct-2016,19304.352,98.7611
30-Sep-2016,19197.938,98.7457
31-Aug-2016,19197.938,98.8500
31-Jul-2016,19197.938,98.9992
30-Jun-2016,19062.709,98.8833
31-May-2016,19062.709,98.4184
30-Apr-2016,19062.709,98.6421
31-Mar-2016,19001.690,98.3096
29-Feb-2016,19001.690,99.0445
31-Jan-2016,19001.690,99.5607
31-Dec-2015,18892.206,99.0417
30-Nov-2015,18892.206,99.5298
31-Oct-2015,18892.206,100.2675
30-Sep-2015,18857.418,100.7547
31-Aug-2015,18857.418,101.0367
31-Jul-2015,18857.418,101.2228
30-Jun-2015,18782.243,100.5710
31-May-2015,18782.243,100.8883
30-Apr-2015,18782.243,101.3355
31-Mar-2015,18666.621,101.8914
28-Feb-2015,18666.621,102.2335
31-Jan-2015,18666.621,102.8905
31-Dec-2014,18500.031,103.7044
30-Nov-2014,18500.031,103.7126
31-Oct-2014,18500.031,103.0764
