Date,Spare Parts Demand (units)
31-Aug-2031,0
31-Jul-2031,4
30-Jun-2031,0
31-May-2031,0
30-Apr-2031,0
31-Mar-2031,0
28-Feb-2031,2
31-Jan-2031,2
31-Dec-2030,0
30-Nov-2030,9
31-Oct-2030,0
30-Sep-2030,0
31-Aug-2030,1
31-Jul-2030,1
30-Jun-2030,0
31-May-2030,0
30-Apr-2030,0
31-Mar-2030,0
28-Feb-2030,0
31-Jan-2030,9
31-Dec-2029,0
30-Nov-2029,0
31-Oct-2029,8
30-Sep-2029,5
31-Aug-2029,0
31-Jul-2029,0
30-Jun-2029,0
31-May-2029,0
30-Apr-2029,0
31-Mar-2029,0
28-Feb-2029,4
31-Jan-2029,0
31-Dec-2028,0
30-Nov-2028,0
31-Oct-2028,0
30-Sep-2028,0
31-Aug-2028,9
31-Jul-2028,8
30-Jun-2028,0
31-May-2028,0
30-Apr-2028,0
31-Mar-2028,0
29-Feb-2028,0
31-Jan-2028,0
31-Dec-2027,2
30-Nov-2027,0
31-Oct-2027,2
30-Sep-2027,0
31-Aug-2027,1
31-Jul-2027,0
30-Jun-2027,0
31-May-2027,0
30-Apr-2027,0
31-Mar-2027,0
28-Feb-2027,0
31-Jan-2027,0
31-Dec-2026,0
30-Nov-2026,10
31-Oct-2026,0
30-Sep-2026,0
31-Aug-2026,0
31-Jul-2026,0
30-Jun-2026,0
31-May-2026,6
30-Apr-2026,0
31-Mar-2026,0
28-Feb-2026,0
31-Jan-2026,0
31-Dec-2025,0
30-Nov-2025,0
31-Oct-2025,0
30-Sep-2025,0
31-Aug-2025,0
31-Jul-2025,8
30-Jun-2025,0
31-May-2025,11
30-Apr-2025,0
31-Mar-2025,0
28-Feb-2025,12
31-Jan-2025,9
31-Dec-2024,7
30-Nov-2024,0
31-Oct-2024,3
30-Sep-2024,0
31-Aug-2024,3
31-Jul-2024,9
30-Jun-2024,2
31-May-2024,0
30-Apr-2024,0
31-Mar-2024,0
29-Feb-2024,0
31-Jan-2024,5
31-Dec-2023,0
30-Nov-2023,0
31-Oct-2023,10
30-Sep-2023,9
31-Aug-2023,9
31-Jul-2023,0
30-Jun-2023,0
31-May-2023,0
30-Apr-2023,0
31-Mar-2023,11
28-Feb-2023,0
31-Jan-2023,0
31-Dec-2022,0
30-Nov-2022,12
31-Oct-2022,0
30-Sep-2022,0
31-Aug-2022,0
31-Jul-2022,6
30-Jun-2022,5
31-May-2022,11
30-Apr-2022,11
31-Mar-2022,0
28-Feb-2022,0
31-Jan-2022,0
31-Dec-2021,0
30-Nov-2021,0
31-Oct-2021,0
30-Sep-2021,7
31-Aug-2021,0
31-Jul-2021,0
30-Jun-2021,0
31-May-2021,0
30-Apr-2021,0
31-Mar-2021,3
28-Feb-2021,0
31-Jan-2021,7
31-Dec-2020,0
30-Nov-2020,0
31-Oct-2020,9
30-Sep-2020,0
31-Aug-2020,0
31-Jul-2020,8
30-Jun-2020,0
31-May-2020,0
30-Apr-2020,0
31-Mar-2020,12
29-Feb-2020,0
31-Jan-2020,0
31-Dec-2019,0
30-Nov-2019,0
31-Oct-2019,0
30-Sep-2019,1
31-Aug-2019,0
31-Jul-2019,0
30-Jun-2019,12
31-May-2019,0
30-Apr-2019,0
31-Mar-2019,0
28-Feb-2019,0
31-Jan-2019,0
31-Dec-2018,0
30-Nov-2018,11
31-Oct-2018,0
30-Sep-2018,0
31-Aug-2018,0
31-Jul-2018,3
30-Jun-2018,0
31-May-2018,0
30-Apr-2018,2
31-Mar-2018,2
28-Feb-2018,0
31-Jan-2018,1
31-Dec-2017,0
30-Nov-2017,6
31-Oct-2017,10
30-Sep-2017,0
31-Aug-2017,2
31-Jul-2017,0
30-Jun-2017,0
31-May-2017,0
30-Apr-2017,0
31-Mar-2017,0
28-Feb-2017,0
31-Jan-2017,0
31-Dec-2016,0
30-Nov-2016,6
31-Oct-2016,0
30-Sep-2016,0
31-Aug-2016,0
31-Jul-2016,3
30-Jun-2016,1
31-May-2016,0
30-Apr-2016,0
31-Mar-2016,0
29-Feb-2016,0
31-Jan-2016,0
31-Dec-2015,0
30-Nov-2015,0
31-Oct-2015,0
30-Sep-2015,0
31-Aug-2015,0
31-Jul-2015,0
30-Jun-2015,9
31-May-2015,11
30-Apr-2015,0
31-Mar-2015,0
28-Feb-2015,0
31-Jan-2015,0
