Date,Nile Annual Flow at Aswan (10^8 m^3)
31-Dec-1970,740
31-Dec-1969,714
31-Dec-1968,718
31-Dec-1967,919
31-Dec-1966,746
31-Dec-1965,912
31-Dec-1964,1170
31-Dec-1963,901
31-Dec-1962,906
31-Dec-1961,1020
31-Dec-1960,815
31-Dec-1959,975
31-Dec-1958,923
31-Dec-1957,797
31-Dec-1956,986
31-Dec-1955,918
31-Dec-1954,1050
31-Dec-1953,838
31-Dec-1952,749
31-Dec-1951,744
31-Dec-1950,890
31-Dec-1949,848
31-Dec-1948,874
31-Dec-1947,860
31-Dec-1946,1040
31-Dec-1945,801
31-Dec-1944,742
31-Dec-1943,812
31-Dec-1942,846
31-Dec-1941,649
31-Dec-1940,676
31-Dec-1939,771
31-Dec-1938,1010
31-Dec-1937,822
31-Dec-1936,897
31-Dec-1935,984
31-Dec-1934,944
31-Dec-1933,845
31-Dec-1932,865
31-Dec-1931,781
31-Dec-1930,759
31-Dec-1929,1040
31-Dec-1928,796
31-Dec-1927,744
31-Dec-1926,845
31-Dec-1925,698
31-Dec-1924,862
31-Dec-1923,864
31-Dec-1922,845
31-Dec-1921,768
31-Dec-1920,821
31-Dec-1919,764
31-Dec-1918,832
31-Dec-1917,1100
31-Dec-1916,1120
31-Dec-1915,702
31-Dec-1914,824
31-Dec-1913,456
31-Dec-1912,726
31-Dec-1911,831
31-Dec-1910,969
31-Dec-1909,1050
31-Dec-1908,1020
31-Dec-1907,692
31-Dec-1906,916
31-Dec-1905,701
31-Dec-1904,833
31-Dec-1903,940
31-Dec-1902,694
31-Dec-1901,874
31-Dec-1900,840
31-Dec-1899,774
31-Dec-1898,1100
31-Dec-1897,1030
31-Dec-1896,1220
31-Dec-1895,1260
31-Dec-1894,1250
31-Dec-1893,1150
31-Dec-1892,1210
31-Dec-1891,1100
31-Dec-1890,1140
31-Dec-1889,958
31-Dec-1888,799
31-Dec-1887,1180
31-Dec-1886,960
31-Dec-1885,1020
31-Dec-1884,994
31-Dec-1883,1110
31-Dec-1882,935
31-Dec-1881,995
31-Dec-1880,1140
31-Dec-1879,1370
31-Dec-1878,1230
31-Dec-1877,813
31-Dec-1876,1160
31-Dec-1875,1160
31-Dec-1874,1210
31-Dec-1873,963
31-Dec-1872,1160
31-Dec-1871,1120
