Date,Total Nonfarm Payrolls NSA (thousands)
31-Mar-2026,157775
28-Feb-2026,157204
31-Jan-2026,156728
31-Dec-2025,159358
30-Nov-2025,159571
31-Oct-2025,159355
30-Sep-2025,158729
31-Aug-2025,158424
31-Jul-2025,158267
30-Jun-2025,159299
31-May-2025,159032
30-Apr-2025,158368
31-Mar-2025,157540
28-Feb-2025,157157
31-Jan-2025,156382
31-Dec-2024,159289
30-Nov-2024,159307
31-Oct-2024,158853
30-Sep-2024,158111
31-Aug-2024,157712
31-Jul-2024,157485
30-Jun-2024,158513
31-May-2024,158117
30-Apr-2024,157370
31-Mar-2024,156612
29-Feb-2024,156007
31-Jan-2024,154942
31-Dec-2023,157828
30-Nov-2023,157950
31-Oct-2023,157531
30-Sep-2023,156563
31-Aug-2023,156107
31-Jul-2023,155779
30-Jun-2023,156701
31-May-2023,156038
30-Apr-2023,155155
31-Mar-2023,154253
28-Feb-2023,153818
31-Jan-2023,152688
31-Dec-2022,155210
30-Nov-2022,155519
31-Oct-2022,154936
30-Sep-2022,153730
31-Aug-2022,153209
31-Jul-2022,152813
30-Jun-2022,153176
31-May-2022,152265
30-Apr-2022,151434
31-Mar-2022,150413
28-Feb-2022,149606
31-Jan-2022,147932
31-Dec-2021,150740
30-Nov-2021,150543
31-Oct-2021,149606
30-Sep-2021,147918
31-Aug-2021,147159
31-Jul-2021,146619
30-Jun-2021,146627
31-May-2021,145391
30-Apr-2021,144403
31-Mar-2021,143308
28-Feb-2021,142129
31-Jan-2021,140975
31-Dec-2020,143604
30-Nov-2020,144117
31-Oct-2020,143565
30-Sep-2020,141957
31-Aug-2020,140728
31-Jul-2020,139105
30-Jun-2020,138507
31-May-2020,133421
30-Apr-2020,130252
31-Mar-2020,149952
29-Feb-2020,150966
31-Jan-2020,150057
31-Dec-2019,152846
30-Nov-2019,153094
31-Oct-2019,152501
30-Sep-2019,151509
31-Aug-2019,151094
31-Jul-2019,150658
30-Jun-2019,151713
31-May-2019,151096
30-Apr-2019,150422
31-Mar-2019,149360
28-Feb-2019,148684
31-Jan-2019,147879
31-Dec-2018,150831
30-Nov-2018,151032
31-Oct-2018,150555
30-Sep-2018,149547
31-Aug-2018,149236
31-Jul-2018,148767
30-Jun-2018,149930
31-May-2018,149264
30-Apr-2018,148329
31-Mar-2018,147353
28-Feb-2018,146648
31-Jan-2018,145413
31-Dec-2017,148509
30-Nov-2017,148758
31-Oct-2017,148182
30-Sep-2017,147169
31-Aug-2017,146781
31-Jul-2017,146464
30-Jun-2017,147565
31-May-2017,146924
30-Apr-2017,146085
31-Mar-2017,145061
28-Feb-2017,144405
31-Jan-2017,143374
31-Dec-2016,146252
30-Nov-2016,146465
31-Oct-2016,146031
30-Sep-2016,145149
31-Aug-2016,144484
31-Jul-2016,144232
30-Jun-2016,145205
31-May-2016,144541
30-Apr-2016,143892
31-Mar-2016,142797
29-Feb-2016,141900
31-Jan-2016,141073
31-Dec-2015,144045
30-Nov-2015,144048
31-Oct-2015,143627
30-Sep-2015,142478
31-Aug-2015,141921
31-Jul-2015,141731
30-Jun-2015,142681
31-May-2015,142205
30-Apr-2015,141264
31-Mar-2015,140080
28-Feb-2015,139324
31-Jan-2015,138491
31-Dec-2014,141306
30-Nov-2014,141314
31-Oct-2014,140848
30-Sep-2014,139793
31-Aug-2014,139105
31-Jul-2014,138727
30-Jun-2014,139804
31-May-2014,139217
30-Apr-2014,138308
31-Mar-2014,137169
28-Feb-2014,136212
31-Jan-2014,135471
31-Dec-2013,138275
30-Nov-2013,138525
31-Oct-2013,138002
30-Sep-2013,137077
31-Aug-2013,136471
31-Jul-2013,136034
30-Jun-2013,137208
31-May-2013,136798
30-Apr-2013,135906
31-Mar-2013,134901
28-Feb-2013,134102
31-Jan-2013,133062
31-Dec-2012,135945
30-Nov-2012,136022
31-Oct-2012,135633
30-Sep-2012,134783
31-Aug-2012,134155
31-Jul-2012,133778
30-Jun-2012,134987
