Date,Total Nonfarm Payrolls SA (thousands)
31-Mar-2026,158637
28-Feb-2026,158459
31-Jan-2026,158592
31-Dec-2025,158432
30-Nov-2025,158449
31-Oct-2025,158408
30-Sep-2025,158548
31-Aug-2025,158472
31-Jul-2025,158542
30-Jun-2025,158478
31-May-2025,158498
30-Apr-2025,158485
31-Mar-2025,158377
28-Feb-2025,158310
31-Jan-2025,158268
31-Dec-2024,158316
30-Nov-2024,158079
31-Oct-2024,157945
30-Sep-2024,157912
31-Aug-2024,157757
31-Jul-2024,157748
30-Jun-2024,157695
31-May-2024,157608
30-Apr-2024,157530
31-Mar-2024,157466
29-Feb-2024,157238
31-Jan-2024,157032
31-Dec-2023,156857
30-Nov-2023,156703
31-Oct-2023,156576
30-Sep-2023,156417
31-Aug-2023,156261
31-Jul-2023,156043
30-Jun-2023,155880
31-May-2023,155655
30-Apr-2023,155375
31-Mar-2023,155134
28-Feb-2023,155066
31-Jan-2023,154776
31-Dec-2022,154342
30-Nov-2022,154242
31-Oct-2022,153939
30-Sep-2022,153582
31-Aug-2022,153362
31-Jul-2022,153072
30-Jun-2022,152358
31-May-2022,151924
30-Apr-2022,151623
31-Mar-2022,151315
28-Feb-2022,150825
31-Jan-2022,150006
31-Dec-2021,149816
30-Nov-2021,149230
31-Oct-2021,148572
30-Sep-2021,147771
31-Aug-2021,147314
31-Jul-2021,146762
30-Jun-2021,145820
31-May-2021,145065
30-Apr-2021,144587
31-Mar-2021,144232
28-Feb-2021,143380
31-Jan-2021,142863
31-Dec-2020,142548
30-Nov-2020,142733
31-Oct-2020,142460
30-Sep-2020,141770
31-Aug-2020,140821
31-Jul-2020,139255
30-Jun-2020,137671
31-May-2020,133040
30-Apr-2020,130426
31-Mar-2020,150895
29-Feb-2020,152293
31-Jan-2020,152031
31-Dec-2019,151794
30-Nov-2019,151667
31-Oct-2019,151460
30-Sep-2019,151365
31-Aug-2019,151169
31-Jul-2019,150937
30-Jun-2019,150838
31-May-2019,150618
30-Apr-2019,150591
31-Mar-2019,150295
28-Feb-2019,150067
31-Jan-2019,150060
31-Dec-2018,149809
30-Nov-2018,149617
31-Oct-2018,149527
30-Sep-2018,149358
31-Aug-2018,149277
31-Jul-2018,149020
30-Jun-2018,148960
31-May-2018,148742
30-Apr-2018,148420
31-Mar-2018,148280
28-Feb-2018,148054
31-Jan-2018,147660
31-Dec-2017,147523
30-Nov-2017,147372
31-Oct-2017,147149
30-Sep-2017,147008
31-Aug-2017,146919
31-Jul-2017,146772
30-Jun-2017,146583
31-May-2017,146380
30-Apr-2017,146175
31-Mar-2017,145970
28-Feb-2017,145846
31-Jan-2017,145628
31-Dec-2016,145408
30-Nov-2016,145183
31-Oct-2016,145065
30-Sep-2016,144967
31-Aug-2016,144661
31-Jul-2016,144520
30-Jun-2016,144147
31-May-2016,143900
30-Apr-2016,143854
31-Mar-2016,143662
29-Feb-2016,143406
31-Jan-2016,143210
31-Dec-2015,143077
30-Nov-2015,142808
31-Oct-2015,142579
30-Sep-2015,142275
31-Aug-2015,142125
31-Jul-2015,141991
30-Jun-2015,141709
31-May-2015,141538
30-Apr-2015,141196
31-Mar-2015,140923
28-Feb-2015,140827
31-Jan-2015,140568
31-Dec-2014,140364
30-Nov-2014,140089
31-Oct-2014,139798
30-Sep-2014,139563
31-Aug-2014,139269
31-Jul-2014,139072
30-Jun-2014,138849
31-May-2014,138513
30-Apr-2014,138298
31-Mar-2014,137985
28-Feb-2014,137712
31-Jan-2014,137561
31-Dec-2013,137372
30-Nov-2013,137317
31-Oct-2013,137041
30-Sep-2013,136821
31-Aug-2013,136646
31-Jul-2013,136391
30-Jun-2013,136279
31-May-2013,136096
30-Apr-2013,135873
31-Mar-2013,135689
28-Feb-2013,135546
31-Jan-2013,135257
31-Dec-2012,135074
30-Nov-2012,134825
31-Oct-2012,134669
30-Sep-2012,134517
31-Aug-2012,134339
31-Jul-2012,134157
30-Jun-2012,134013
31-May-2012,133932
30-Apr-2012,133825
31-Mar-2012,133748
29-Feb-2012,133509
31-Jan-2012,133246
31-Dec-2011,132888
30-Nov-2011,132690
31-Oct-2011,132553
30-Sep-2011,132344
31-Aug-2011,132125
31-Jul-2011,131992
30-Jun-2011,131931
31-May-2011,131703
30-Apr-2011,131597
31-Mar-2011,131283
28-Feb-2011,131057
31-Jan-2011,130837
31-Dec-2010,130830
30-Nov-2010,130749
31-Oct-2010,130620
30-Sep-2010,130341
31-Aug-2010,130415
31-Jul-2010,130415
30-Jun-2010,130510
31-May-2010,130642
30-Apr-2010,130120
31-Mar-2010,129866
28-Feb-2010,129706
31-Jan-2010,129802
31-Dec-2009,129808
30-Nov-2009,130057
31-Oct-2009,130061
30-Sep-2009,130246
31-Aug-2009,130472
31-Jul-2009,130662
30-Jun-2009,131008
31-May-2009,131466
30-Apr-2009,131822
31-Mar-2009,132494
28-Feb-2009,133318
31-Jan-2009,134079
31-Dec-2008,134847
30-Nov-2008,135541
31-Oct-2008,136291
30-Sep-2008,136760
31-Aug-2008,137211
31-Jul-2008,137497
30-Jun-2008,137700
31-May-2008,137851
30-Apr-2008,138040
31-Mar-2008,138259
29-Feb-2008,138329
31-Jan-2008,138391
31-Dec-2007,138395
30-Nov-2007,138290
31-Oct-2007,138175
30-Sep-2007,138099
31-Aug-2007,138013
31-Jul-2007,138044
30-Jun-2007,138070
31-May-2007,137992
30-Apr-2007,137847
31-Mar-2007,137784
28-Feb-2007,137560
31-Jan-2007,137472
31-Dec-2006,137249
30-Nov-2006,137060
31-Oct-2006,136843
30-Sep-2006,136826
31-Aug-2006,136692
31-Jul-2006,136529
30-Jun-2006,136337
31-May-2006,136249
30-Apr-2006,136210
31-Mar-2006,136038
28-Feb-2006,135733
31-Jan-2006,135427
31-Dec-2005,135159
30-Nov-2005,134997
31-Oct-2005,134641
30-Sep-2005,134552
31-Aug-2005,134502
31-Jul-2005,134300
30-Jun-2005,133948
31-May-2005,133689
30-Apr-2005,133520
31-Mar-2005,133154
28-Feb-2005,133034
31-Jan-2005,132781
31-Dec-2004,132630
30-Nov-2004,132503
31-Oct-2004,132429
30-Sep-2004,132089
31-Aug-2004,131939
31-Jul-2004,131854
30-Jun-2004,131794
31-May-2004,131697
30-Apr-2004,131412
31-Mar-2004,131140
29-Feb-2004,130821
31-Jan-2004,130756
31-Dec-2003,130589
30-Nov-2003,130480
31-Oct-2003,130439
30-Sep-2003,130252
31-Aug-2003,130153
31-Jul-2003,130184
30-Jun-2003,130186
31-May-2003,130197
30-Apr-2003,130173
31-Mar-2003,130235
28-Feb-2003,130441
31-Jan-2003,130573
31-Dec-2002,130465
30-Nov-2002,130616
31-Oct-2002,130617
30-Sep-2002,130502
31-Aug-2002,130581
31-Jul-2002,130584
30-Jun-2002,130674
31-May-2002,130632
30-Apr-2002,130616
31-Mar-2002,130722
28-Feb-2002,130737
31-Jan-2002,130859
31-Dec-2001,130983
30-Nov-2001,131144
31-Oct-2001,131452
30-Sep-2001,131763
31-Aug-2001,132021
31-Jul-2001,132172
30-Jun-2001,132300
31-May-2001,132408
30-Apr-2001,132458
31-Mar-2001,132751
28-Feb-2001,132788
31-Jan-2001,132703
31-Dec-2000,132716
30-Nov-2000,132556
31-Oct-2000,132352
