Date,Real GDP Q/Q SAAR
01-Jan-1950,16.7
01-Apr-1950,12.7
01-Jul-1950,16.4
01-Oct-1950,7.9
01-Jan-1951,5.5
01-Apr-1951,7.1
01-Jul-1951,8.5
01-Oct-1951,0.9
01-Jan-1952,4.3
01-Apr-1952,0.8
01-Jul-1952,2.9
01-Oct-1952,13.8
01-Jan-1953,7.7
01-Apr-1953,3.1
01-Jul-1953,-2.2
01-Oct-1953,-5.9
01-Jan-1954,-1.9
01-Apr-1954,0.4
01-Jul-1954,4.6
01-Oct-1954,8.1
01-Jan-1955,11.9
01-Apr-1955,6.7
01-Jul-1955,5.5
01-Oct-1955,2.4
01-Jan-1956,-1.5
01-Apr-1956,3.3
01-Jul-1956,-0.3
01-Oct-1956,6.8
01-Jan-1957,2.6
01-Apr-1957,-0.9
01-Jul-1957,4.0
01-Oct-1957,-4.1
01-Jan-1958,-10.0
01-Apr-1958,2.7
01-Jul-1958,9.6
01-Oct-1958,9.7
01-Jan-1959,7.9
01-Apr-1959,9.3
01-Jul-1959,0.3
01-Oct-1959,1.1
01-Jan-1960,9.3
01-Apr-1960,-2.1
01-Jul-1960,2.0
01-Oct-1960,-5.0
01-Jan-1961,2.7
01-Apr-1961,7.0
01-Jul-1961,7.9
01-Oct-1961,8.1
01-Jan-1962,7.3
01-Apr-1962,3.7
01-Jul-1962,5.0
01-Oct-1962,1.3
01-Jan-1963,4.4
01-Apr-1963,4.6
01-Jul-1963,9.1
01-Oct-1963,2.6
01-Jan-1964,8.7
01-Apr-1964,4.4
01-Jul-1964,6.4
01-Oct-1964,1.2
01-Jan-1965,10.0
01-Apr-1965,5.2
01-Jul-1965,9.2
01-Oct-1965,9.5
01-Jan-1966,10.1
01-Apr-1966,1.4
01-Jul-1966,3.4
01-Oct-1966,3.3
01-Jan-1967,3.6
01-Apr-1967,0.2
01-Jul-1967,3.8
01-Oct-1967,3.1
01-Jan-1968,8.4
01-Apr-1968,6.9
01-Jul-1968,3.1
01-Oct-1968,1.6
01-Jan-1969,6.4
01-Apr-1969,1.2
01-Jul-1969,2.7
01-Oct-1969,-1.9
01-Jan-1970,-0.6
01-Apr-1970,0.6
01-Jul-1970,3.7
01-Oct-1970,-4.2
01-Jan-1971,11.3
01-Apr-1971,2.2
01-Jul-1971,3.3
01-Oct-1971,0.9
01-Jan-1972,7.6
01-Apr-1972,9.4
01-Jul-1972,3.8
01-Oct-1972,6.9
01-Jan-1973,10.3
01-Apr-1973,4.4
01-Jul-1973,-2.1
01-Oct-1973,3.9
01-Jan-1974,-3.4
01-Apr-1974,1.0
01-Jul-1974,-3.7
01-Oct-1974,-1.5
01-Jan-1975,-4.8
01-Apr-1975,2.9
01-Jul-1975,7.0
01-Oct-1975,5.5
01-Jan-1976,9.3
01-Apr-1976,3.0
01-Jul-1976,2.2
01-Oct-1976,2.9
01-Jan-1977,4.8
01-Apr-1977,8.0
01-Jul-1977,7.4
01-Oct-1977,0.0
01-Jan-1978,1.3
01-Apr-1978,16.4
01-Jul-1978,4.1
01-Oct-1978,5.5
01-Jan-1979,0.7
01-Apr-1979,0.4
01-Jul-1979,3.0
01-Oct-1979,1.0
01-Jan-1980,1.3
01-Apr-1980,-8.0
01-Jul-1980,-0.5
01-Oct-1980,7.7
01-Jan-1981,8.1
01-Apr-1981,-2.9
01-Jul-1981,4.9
01-Oct-1981,-4.3
01-Jan-1982,-6.1
01-Apr-1982,1.8
01-Jul-1982,-1.5
01-Oct-1982,0.2
01-Jan-1983,5.4
01-Apr-1983,9.4
01-Jul-1983,8.2
01-Oct-1983,8.6
01-Jan-1984,8.1
01-Apr-1984,7.1
01-Jul-1984,3.9
01-Oct-1984,3.3
01-Jan-1985,3.9
01-Apr-1985,3.6
01-Jul-1985,6.3
01-Oct-1985,3.0
01-Jan-1986,3.8
01-Apr-1986,1.8
01-Jul-1986,3.9
01-Oct-1986,2.2
01-Jan-1987,3.0
01-Apr-1987,4.4
01-Jul-1987,3.5
01-Oct-1987,7.0
01-Jan-1988,2.1
01-Apr-1988,5.4
01-Jul-1988,2.4
01-Oct-1988,5.4
01-Jan-1989,4.1
01-Apr-1989,3.1
01-Jul-1989,3.0
01-Oct-1989,0.8
01-Jan-1990,4.4
01-Apr-1990,1.5
01-Jul-1990,0.3
01-Oct-1990,-3.6
01-Jan-1991,-1.9
01-Apr-1991,3.2
01-Jul-1991,2.0
01-Oct-1991,1.4
01-Jan-1992,4.9
01-Apr-1992,4.4
01-Jul-1992,4.0
01-Oct-1992,4.2
01-Jan-1993,0.7
01-Apr-1993,2.3
01-Jul-1993,1.9
01-Oct-1993,5.6
01-Jan-1994,3.9
01-Apr-1994,5.5
01-Jul-1994,2.4
01-Oct-1994,4.7
01-Jan-1995,1.4
01-Apr-1995,1.2
01-Jul-1995,3.5
01-Oct-1995,2.7
01-Jan-1996,3.0
01-Apr-1996,6.8
01-Jul-1996,3.6
01-Oct-1996,4.2
01-Jan-1997,2.6
01-Apr-1997,6.8
01-Jul-1997,5.1
01-Oct-1997,3.5
01-Jan-1998,4.1
01-Apr-1998,3.8
01-Jul-1998,5.1
01-Oct-1998,6.6
01-Jan-1999,3.8
01-Apr-1999,3.4
01-Jul-1999,5.4
01-Oct-1999,6.7
01-Jan-2000,1.5
01-Apr-2000,7.5
01-Jul-2000,0.4
01-Oct-2000,2.4
01-Jan-2001,-1.3
01-Apr-2001,2.5
01-Jul-2001,-1.6
01-Oct-2001,1.1
01-Jan-2002,3.4
01-Apr-2002,2.5
01-Jul-2002,1.6
01-Oct-2002,0.5
01-Jan-2003,2.1
01-Apr-2003,3.6
01-Jul-2003,6.8
01-Oct-2003,4.7
01-Jan-2004,2.3
01-Apr-2004,3.1
01-Jul-2004,3.8
01-Oct-2004,4.1
01-Jan-2005,4.5
01-Apr-2005,2.0
01-Jul-2005,3.2
01-Oct-2005,2.2
01-Jan-2006,5.5
01-Apr-2006,1.0
01-Jul-2006,0.6
01-Oct-2006,3.5
01-Jan-2007,1.2
01-Apr-2007,2.5
01-Jul-2007,2.3
01-Oct-2007,2.5
01-Jan-2008,-1.7
01-Apr-2008,2.4
01-Jul-2008,-2.1
01-Oct-2008,-8.5
01-Jan-2009,-4.5
01-Apr-2009,-0.7
01-Jul-2009,1.4
01-Oct-2009,4.4
01-Jan-2010,1.9
01-Apr-2010,3.9
01-Jul-2010,3.1
01-Oct-2010,2.1
01-Jan-2011,-0.9
01-Apr-2011,2.7
01-Jul-2011,-0.1
01-Oct-2011,4.6
01-Jan-2012,3.4
01-Apr-2012,1.8
01-Jul-2012,0.6
01-Oct-2012,0.5
01-Jan-2013,4.0
01-Apr-2013,1.1
01-Jul-2013,3.5
01-Oct-2013,3.5
01-Jan-2014,-1.4
01-Apr-2014,5.3
01-Jul-2014,5.0
01-Oct-2014,2.0
01-Jan-2015,3.6
01-Apr-2015,2.5
01-Jul-2015,1.6
01-Oct-2015,0.7
01-Jan-2016,2.3
01-Apr-2016,1.3
01-Jul-2016,2.9
01-Oct-2016,2.2
01-Jan-2017,2.0
01-Apr-2017,2.3
01-Jul-2017,3.2
01-Oct-2017,4.6
01-Jan-2018,3.3
01-Apr-2018,2.1
01-Jul-2018,2.5
01-Oct-2018,0.6
01-Jan-2019,2.5
01-Apr-2019,3.4
01-Jul-2019,4.8
01-Oct-2019,2.8
01-Jan-2020,-5.2
01-Apr-2020,-28.0
01-Jul-2020,34.9
01-Oct-2020,4.6
01-Jan-2021,5.7
01-Apr-2021,7.0
