Date,S&P 500 Daily Log Return (percent)
15-Apr-2026,0.79441
14-Apr-2026,1.171404
13-Apr-2026,1.012186
10-Apr-2026,-0.113917
09-Apr-2026,0.615105
08-Apr-2026,2.477204
07-Apr-2026,0.075896
06-Apr-2026,0.441699
02-Apr-2026,0.112023
01-Apr-2026,0.714297
31-Mar-2026,2.871492
30-Mar-2026,-0.395357
27-Mar-2026,-1.686322
26-Mar-2026,-1.755948
25-Mar-2026,0.540453
24-Mar-2026,-0.374961
23-Mar-2026,1.138811
20-Mar-2026,-1.52539
19-Mar-2026,-0.275259
18-Mar-2026,-1.370105
17-Mar-2026,0.249116
16-Mar-2026,1.007992
13-Mar-2026,-0.607752
12-Mar-2026,-1.534485
11-Mar-2026,-0.083793
10-Mar-2026,-0.213737
09-Mar-2026,0.826984
06-Mar-2026,-1.336573
05-Mar-2026,-0.56627
04-Mar-2026,0.772611
03-Mar-2026,-0.948887
02-Mar-2026,0.039824
27-Feb-2026,-0.43488
26-Feb-2026,-0.538002
25-Feb-2026,0.810343
24-Feb-2026,0.762251
23-Feb-2026,-1.043999
20-Feb-2026,0.691581
19-Feb-2026,-0.282613
18-Feb-2026,0.555066
17-Feb-2026,0.103075
13-Feb-2026,0.049894
12-Feb-2026,-1.578488
11-Feb-2026,-0.004898
10-Feb-2026,-0.330922
09-Feb-2026,0.468011
06-Feb-2026,1.950436
05-Feb-2026,-1.232663
04-Feb-2026,-0.508532
03-Feb-2026,-0.843951
02-Feb-2026,0.537676
30-Jan-2026,-0.431118
29-Jan-2026,-0.129346
28-Jan-2026,-0.008168
27-Jan-2026,0.407357
26-Jan-2026,0.499358
23-Jan-2026,0.032685
22-Jan-2026,0.54725
21-Jan-2026,1.152108
20-Jan-2026,-2.084247
16-Jan-2026,-0.064244
15-Jan-2026,0.257659
14-Jan-2026,-0.534761
13-Jan-2026,-0.194104
12-Jan-2026,0.157636
09-Jan-2026,0.645464
08-Jan-2026,0.007658
07-Jan-2026,-0.34459
06-Jan-2026,0.617759
05-Jan-2026,0.633408
02-Jan-2026,0.189288
31-Dec-2025,-0.738483
30-Dec-2025,-0.137661
29-Dec-2025,-0.349821
26-Dec-2025,-0.030443
24-Dec-2025,0.321634
23-Dec-2025,0.45401
22-Dec-2025,0.641584
